name,degrees,description,speciality,qualification,vinmec_site,price_local,price_foreigner
Vũ Thị Mai,Thạc sĩ,"Bác sĩ Vũ Thị Mai đã có nhiều năm kinh nghiệm trong lĩnh vực Dị ứng – Miễn dịch lâm sàng. Bác sĩ đã tốt nghiệp Bác sĩ đa khoa tại Trường Đại học Y Hà Nội (2009-2015), sau đó hoàn thành chương trình Thạc sĩ Y học tại cùng trường (2015-2018) và thực hiện chuyên ngành nội trú Dị ứng – Miễn dịch lâm sàng tại bệnh viện tuyến đầu của Việt Nam (2015-2018).
Hiện bác sĩ đang công tác tại khoa Nội tổng hợp của Bệnh viện Đa khoa Quốc tế Vinmec Times City với vai trò bác sĩ chuyên khoa Dị ứng – Miễn dịch lâm sàng. Trong suốt quá trình công tác, bác sĩ đã thực hiện nhiều dịch vụ chuyên sâu như chẩn đoán và điều trị hen phế quản, viêm mũi dị ứng, viêm da cơ địa, mày đay cấp và mạn tính, dị ứng thuốc, thức ăn và vaccine, đồng thời chăm sóc các bệnh tự miễn như lupus ban đỏ hệ thống, viêm cơ tự miễn, xơ cứng bì, và hội chứng kháng phospholipid.
Bác sĩ cũng tham gia nghiên cứu và công bố các công trình khoa học như bài báo khoa học “Utility of skin testing in assessment of post-AZD1222 vaccine (AstraZeneca) allergic reactions: case series in Vietnam” (Asia Pac Allergy, 2021) và “Cluster analysis of exhaled nitric oxide parameters …” (Respirology, 2019), cùng luận văn thạc sĩ đánh giá tình trạng loãng xương ở bệnh nhân lupus ban đỏ hệ thống. Ngoài ra, bác sĩ là thành viên của các hiệp hội chuyên ngành, đã được ghi nhận bởi các giải thưởng và sự đánh giá tích cực từ bệnh nhân – nhằm khẳng định tinh thần làm việc tận tâm và luôn không ngừng phát triển chuyên môn.",Miễn dịch dị ứng,"2009 - 2015: Bác sĩ đa khoa tại trường Đại Học Y Hà Nội


2015 - 2018: Thạc sĩ y học tại trường Đại học Y Hà Nội


2015 - 2018: Bác sĩ nội trú chuyên ngành Dị ứng - Miễn dịch lâm sàng trường Đại học Y Hà Nội",Bệnh viện ĐKQT Vinmec Times City,690000,690000
Phạm Thị Hải Yến,Thạc sĩ,"Thạc sĩ, Bác sĩ Phạm Thị Hải Yến có kinh nghiệm 6 năm học tập và làm việc trong lĩnh vực Dị ứng - Miễn dịch lâm sàng. Tốt nghiệp trường Đại học Y Hà Nội, tiếp tục học tập theo chương trình bác sĩ nội trú chuyên ngành Dị ứng - Miễn dịch lâm sàng.",Hen - Dị ứng miễn dịch,"09/2010 - 08/2016: Sinh viên hệ Bác sĩ đa khoa - Đại học Y Hà Nội
10/2016 - 10/2018: Thạc sĩ Y khoa - Đại học Y Hà Nội
10/2018 - 10/2019: Bác sĩ nội trú chuyên ngành Dị ứng - Miễn dịch lâm sàng - Đại học Y Hà Nội",Bệnh viện ĐKQT Vinmec Times City,690000,690000
Nguyễn Quỳnh Anh,Thạc sĩ,"Thạc sĩ, Bác sĩ Nguyễn Quỳnh Anh là một bác sĩ chuyên khoa Dị ứng – Miễn dịch lâm sàng với kinh nghiệm học tập và làm việc trong lĩnh vực này. Bác sĩ đã hoàn thành chương trình đào tạo Bác sĩ Đa khoa tại Đại học Y Hà Nội (2011-2017), tiếp tục theo học chương trình Thạc sĩ Y khoa và Bác sĩ Nội trú chuyên ngành Dị ứng – Miễn dịch lâm sàng tại cùng trường từ năm 2017 đến năm 2020.
Trong thời gian này, bác sĩ cũng thực hành chuyên môn tại Bệnh viện Bạch Mai. Kể từ tháng 11 năm 2020 đến nay, Bác sĩ Quỳnh Anh công tác tại Bệnh viện Đa khoa Quốc tế Vinmec Times City với vai trò Bác sĩ Dị ứng – Miễn dịch lâm sàng. Bác sĩ chuyên cung cấp các dịch vụ khám và điều trị các bệnh lý hen, dị ứng và các vấn đề về miễn dịch.
Bác sĩ đã thực hiện luận văn thạc sĩ về “Mức độ hoạt động bệnh ở bệnh nhân lupus ban đỏ hệ thống trong thời kì mang thai” và là đồng tác giả của các bài báo khoa học, trong đó có ""Đánh giá mức độ hoạt động bệnh ở bệnh nhân lupus ban đỏ hệ thống trong thời kì mang thai"" đăng trên Tạp chí Nghiên cứu Y học (2020) và bài báo quốc tế “Utility of skin testing in assessment of post-AZD1222 vaccine (AstraZeneca) allergic reactions: case series in Vietnam” trên tạp chí Asia Pac Allergy (2021). Bác sĩ có kinh nghiệm thực hiện các kỹ thuật như test lẩy da, test nội bì, test áp da, test kích thích, và giải mẫn cảm.",Miễn dịch dị ứng,"09/2011 - 08/2017: Sinh viên hệ bác sĩ đa khoa - Đại học Y hà Nội
10/2017 - 10/2019: Thạc sĩ y khoa - Đại học Y Hà Nội
10/2017 - 10/2020: Bác sĩ nội trú chuyên ngành Dị ứng - Miễn dịch lâm sàng - Đại học Y Hà Nội",Bệnh viện ĐKQT Vinmec Times City,690000,690000
Võ Hà Phương,Thạc sĩ,"Thạc sĩ, Bác sĩ nội trú Võ Hà Phương, tốt nghiệp bác sĩ nội trú Trường Đại học Y Hà Nội, đã có hơn 5 năm kinh nghiệm trong lĩnh vực Nhi khoa. Sau đó, bác sĩ được đào tạo bài bản về các bệnh lý Dị ứng – Miễn dịch tại Bệnh viện Nhi Trung Ương.",Miễn dịch dị ứng,"2018: Tốt nghiệp bác sĩ đa khoa – Trường Đại học Y Hà Nội
2018 – 2021: Bác sĩ nội trú chuyên ngành Nhi khoa – Trường Đại học Y Hà Nội/Bệnh viện Nhi Trung Ương.
2020: Thạc sĩ Nhi khoa – Trường Đại học Y Hà Nội
2022: Hoàn thành khóa học Dị ứng học lâm sàng Nhi DIU-IAC",Bệnh viện ĐKQT Vinmec Times City,690000,690000
Thục Thanh Huyền,Thạc sĩ,"ThS. BS Thục Thanh Huyền là bác sĩ Nhi khoa có nhiều năm kinh nghiệm trong lĩnh vực Dị ứng - Miễn dịch. Đặc biệt có thế mạnh trong việc nghiên cứu và điều trị các căn bệnh liên quan đến suy giảm miễn dịch, dị ứng thức ăn, dị ứng thuốc và các lĩnh vực trong nhi khoa.
Song song với công việc của bác sĩ lâm sàng, BS còn tích cực tham gia nghiên cứu khoa học và có hơn 20 bài nghiên cứu về bệnh lý suy giảm miễn dịch tiên phát, dị ứng thức ăn, dị ứng thuốc, hen phế quản ở trẻ em đã được xuất bản trên các tạp chí y khoa cũng như báo cáo tại các hội nghị khoa học trong nước và quốc tế. BS được đào tạo trong và ngoài nước tại bệnh viện Nhi Westmead - Úc, đại học Y khoa Nebraska, bệnh viện Trẻ em bang Texas- Hoa Kỳ, bệnh viện Đại học Y Montpellier, Pháp… Với những nỗ lực không ngừng nghỉ của mình, bác sĩ đã được trao tặng những chứng nhận như Tài trợ du lịch của Đại hội suy giảm miễn dịch nguyên phát quốc tế (IPIC 2015, 2017), Quan sát lâm sàng của Hocmai - Tổ chức Y tế Úc Việt (2018), Học bổng lâm sàng EAACI (2020).
Ngoài ra, bác sĩ Thục Thanh Huyền còn là thành viên của Chi hội Miễn dịch - Dị ứng Nhi khoa - Hội Nhi khoa Việt Nam, Hội Dị ứng - Miễn dịch lâm sàng châu Âu (EAACI), Hội Phổi Pháp - Việt (AFVP), Nhóm hỗ trợ bệnh nhân suy giảm miễn dịch tiên phát Việt Nam (VIETPIPS) và Hội bệnh nhân suy giảm miễn dịch tiên phát quốc tế (IPOPI).
Hiện tại ThS. BS Thục Thanh Huyền đang giữ chức vụ Bác sĩ Miễn dịch - Dị ứng Nhi khoa tại Trung tâm Miễn dịch - Dị ứng lâm sàng, Bệnh viện Đa khoa Quốc tế Vinmec Times City.",Miễn dịch dị ứng,"2010: Tốt nghiệp Bác sĩ đa khoa, trường Đại học Y Hà Nội
2014: Chứng chỉ Nhi khoa sau đại học, trường Đại học Sydney, Úc
2018: Tốt nghiệp Thạc sĩ y học, Chuyên ngành Nhi khoa, trường Đại học Y Hà Nội
2019: Bằng Dị ứng - Miễn dịch lâm sàng, Đại học Corse, Pháp",Bệnh viện ĐKQT Vinmec Times City,690000,690000
Nguyễn Duy Bộ,Thạc sĩ,"Bác sĩ Nguyễn Duy Bộ tốt nghiệp chương trình đào tạo bác sĩ đa khoa Trường Đại học Y Hà Nội liên kết với Tổ chức Đại học Pháp ngữ (AUF) bảo vệ luận văn xuất sắc bằng tiếng pháp. Sau đó, bác sĩ Nguyễn Duy Bộ được đào tạo bài bản về Nhi khoa và các bệnh lý Hô hấp – Dị ứng – Miễn Dịch tại Bệnh viện Nhi Trung Ương và các bệnh viện lớn tại Paris, Pháp (bệnh viện Necker Enfants Malades, Bệnh viện Robert Debré, Bệnh viện Curie). Tốt nghiệp chương trình thạc sĩ chuyên ngành Miễn Dịch trường đại học Sorbonne và tốt nghiệp Chương trình Đào tạo Y khoa Chuyên khoa sâu (DFMSA) – Bác sĩ nội trú Cộng Hòa Pháp.
Bác sĩ Nguyễn Duy Bộ có gần 10 năm kinh nghiệm trong lĩnh vực Hô hấp – Dị ứng – Miễn dịch Nhi Khoa. Song song với công việc của bác sĩ lâm sàng, bác sĩ Nguyễn Duy Bộ còn tham gia nhiều nghiên cứu y khoa và là tác giả và đồng tác giả của nhiều bài báo khoa học được đăng trên các tạp chí y khoa trong nước và quốc tế. Lĩnh vực nghiên cứu: Hô hấp, hen, dị ứng, miễn dich, ngừng thở khi ngủ…",Miễn dịch dị ứng,"2019 - 2020: Thạc sĩ chuyên ngành miễn dịch học đại học Sorbonne, Paris, Pháp


2019 - 2020:  Bác sĩ nội trú Bệnh viện Necker Enfants Malades, Paris, Pháp. Bằng đào tạo y khoa chuyên sâu (DFMSA) về Nhi Khoa, Đại học Paris, Paris, Pháp


2017 - 2018: Đào tạo về Huyết học - Miễn dịch - Ung thư tại khoa Huyết học - Miễn Dịch, Bệnh viện Robert Debré và khoa Nhi, Bệnh viện Curie, Paris, Pháp


2014: Đào tạo về Hô hấp và Dị ứng nhi khoa tại khoa Hô hấp - Dị ứng, Bệnh viện Necker Enfants Malades, Paris, Pháp


2013 - 2016: Tham gia chương trình đào tạo bác sĩ nội trú Bệnh viện Nhi Trung Ương


2013 - 2017: Bác sĩ đa khoa - Đại học Y Hà Nội",Bệnh viện ĐKQT Vinmec Times City,690000,690000
Nguyễn Thị Nét,"Thạc sĩ, Bác sĩ nội trú","Thạc sĩ, Bác sĩ nội trú Nguyễn Thị Nét tốt nghiệp bác sĩ nội trú chuyên ngành Nội khoa trường Đại học Y Hà Nội, bảo vệ thành công luận văn thạc sĩ với đề tài nghiên cứu về đặc điểm lâm sàng, cận lâm sàng và đo khuyếch tán khí qua màng phế nang mao mạch ở bệnh nhân bệnh phổi tắc nghẽn mạn tính.
Hiện nay, ThS. BS nội trú Nguyễn Thị Nét công tác tại khoa Nội tổng hợp thuộc Bệnh viện Đa khoa Quốc tế Vinmec Times City.",,"2018: Tốt nghiệp Bác sĩ Đa khoa tại Đại học Y Hà Nội
2020: Bảo vệ xuất sắc luận văn Thạc sĩ Y học, chuyên ngành Nội khoa tại Đại học Y Hà Nội
2021: Tốt nghiệp Bác sĩ Nội trú, chuyên ngành Nội khoa tại Đại học Y Hà Nội
2/2022: Hoàn thành khóa đào tạo Nội soi phế quản ống mềm tại Bệnh viện Bạch Mai
8/2022: Hoàn thành khóa đào tạo Kỹ thuật thăm dò giấc ngủ - Hỗ trợ ngưng thở khi ngủ bằng máy thở áp lực dương và chuyên đề của Hội Y học giấc ngủ Việt Nam",Bệnh viện ĐKQT Vinmec Times City,690000,690000
Cấn Thị Hằng,"Thạc sĩ, Bác sĩ nội trú","ThS. BS nội trú Cấn Thị Hằng tốt nghiệp chuyên ngành Bác sĩ đa khoa trường Đại học Y Hà Nội năm 2017, tốt nghiệp chương trình Thạc sĩ, Bác sĩ Nội trú chuyên ngành Nội khoa trường Đại học Y Hà Nội năm 2020, đã có 5 năm kinh nghiệm trong lĩnh vực Nội khoa.
ThS. BS nội trú Cấn Thị Hằng hiện là Bác sĩ Nội hô hấp và đang làm việc tại Phòng khám Hô Hấp - Khoa Nội Tổng hợp - Bệnh viện Vinmec Times City. Bác sĩ Hằng đồng thời là Giảng viên thỉnh giảng - Đại học VinUniversity.",Hô hấp,"2011 - 2017: Tốt nghiệp Bác sĩ đa khoa, trường Đại học Y Hà Nội.
2017 - 2020: Tốt nghiệp Thạc sĩ, Bác sĩ nội trú chuyên ngành Nội tổng hợp trường Đại học Y Hà Nội.
2019: Nhận chứng chỉ điều trị các bệnh lý hô hấp trong Chương trình liên kết đại học Corse (CH Pháp) - Trường Đại học Y Hà Nội (Việt Nam)
2021: Hoàn thành khóa đào tạo về thăm dò chức năng Hô hấp và Nội soi phế quản ống mềm tại bệnh viện Bạch Mai
Hàng năm cập nhật kiến thức mới nhất trong lĩnh vực Hô hấp từ các hiệp hội:  Hội Lồng Ngực Hoa Kỳ (ATS), Hội Hô Hấp Châu Âu (ERS), Hội Hô hấp Châu Á Thái Bình Dương (APSR), Hội Hô Hấp Việt Nam (VNRS), Hội Y học Giấc Ngủ Việt Nam (VSSM), Chiến lược Hen toàn cầu (GINA), Chiến lược bệnh phổi tắc nghẽn mạn tính toàn cầu (GOLD), Hội Y học Giấc ngủ Hoa Kỳ (AASM)…
2024: Đào tạo chuyên sâu bệnh lý giấc ngủ tại Hội Y học giấc ngủ Việt Nam
2024: Đào tạo chuyên sâu về thăm dò chức năng hô hấp và y học giấc ngủ tại 2 bệnh viện Cochin và Bệnh viện Pitié-Salpêtrière tại Paris, Cộng hòa Pháp
2025: Nhận chứng chỉ về y học giấc ngủ dành cho chuyên gia được cấp bởi Hội Y học giấc ngủ thế giới (World Sleep Society)",Bệnh viện ĐKQT Vinmec Times City,690000,690000
Phạm Bá Nha,Tiến sĩ,"PGS.TS.BS Phạm Bá Nha đã có gần 40 năm kinh nghiệm trong lĩnh vực sản khoa, sản phụ bệnh lý và điều trị vô sinh hiếm muộn. Bác sĩ được đánh giá là một trong những bác sĩ Sản phụ khoa có chuyên môn hàng đầu tại Bệnh viện Bạch Mai.
PGS.TS.BS Phạm Bá Nha là Chuyên gia điều trị những ca sinh khó, những ca sản bệnh lý (sản phụ mắc các bệnh nội khoa như chạy thận nhân tạo, nhau cài răng lược, tim mạch…) và khuyết tật hoặc biến chứng nghiêm trọng ở bộ phận sinh dục. Đặc biệt Bác sĩ Phạm Bá Nha có kinh nghiệm nhiều năm thực hiện các kỹ thuật tiến bộ trong điều trị vô sinh – hiếm muộn như IVF, ICSI, PESA, nuôi cấy phôi ngày 5, hỗ trợ thai thoát màng,…
PGS.TS.BS Phạm Bá Nha nguyên là Trưởng khoa Phụ Sản và Trưởng đơn vị Hỗ trợ sinh sản IVF tại Bệnh viện Bạch Mai. Đồng thời, ông là Giảng viên Bộ môn Phụ sản Trường Đại học y Hà Nội, tham gia đào tạo đại học, sau đại học và hướng dẫn nghiên cứu sinh. Ông đã góp phần xây dựng đơn vị Hỗ trợ sinh sản – thụ tinh trong ống nghiệm của Bệnh viện Bạch Mai được Bộ y tế chấp thuận từ tháng 12 năm 2013. Dưới sự xây dựng, quản lý và phát triển của PGS.TS.BS Phạm Bá Nha, đơn vị đã tiếp cận được các trang thiết bị hiện đại và các kỹ thuật tiến bộ trong lĩnh vực hỗ trợ sinh sản trên thế giới.","Hỗ trợ sinh sản, Khoa Sản, Sản phụ khoa",,Bệnh viện ĐKQT Vinmec Times City,350000,350000
Tô Minh Hương,Tiến sĩ,"Tiến sĩ, Bác sĩ Tô Minh Hương đã nhiều năm cống hiến trong lĩnh vực Sản phụ khoa và Hỗ trợ sinh sản. Bác sĩ Hương nhận bằng Tiến sĩ chuyên ngành phụ sản tại Đại học Y Hà Nội. Bà cũng được đào tạo sau đại học tại Vương quốc Bỉ, Thái Lan và đào tạo chuyên sâu về Thụ tinh ống nghiệm tại Mỹ, Bệnh viện Phụ sản Trung ương.
Trong sự nghiệp của mình, Tiến sĩ Hương đã những đóng góp có ý nghĩa cho nền y tế nước nhà, bà là chủ nhiệm và tham gia một số đề tài cấp quốc tế, cấp thành phố, cấp cơ sở đồng thời là tác giả của nhiều bài báo có tính thực tiễn cao.
Với nền tảng kiến thức chuyên sâu và kinh nghiệm phong phú, bà từng giữ vị trí Phó giám đốc kiêm Trưởng khoa Hỗ trợ sinh sản, Bệnh viện Phụ sản Hà Nội, Giám đốc Trung tâm Hỗ trợ sinh sản Bệnh viện đa khoa quốc tế Vinmec, đồng thời đang tham gia tích cực tại các tổ chức y tế như Hội Hỗ trợ sinh sản Hà Nội, Hội Vô sinh và Nội tiết TP Hồ Chí Minh, Hội Phụ sản và Kế hoạch hóa gia đình Hà Nội, Hội Phụ sản và Kế hoạch hóa gia đình Việt Nam,...
Ghi nhận những đóng góp của bà, Tiến sĩ Hương đã vinh dự nhận nhiều bằng khen của Thủ tướng Chính phủ, Chủ tịch nước, Bộ Y tế, UBND thành phố Hà Nội, Sở Y tế Hà Nội trong nhiều năm.
Hiện nay, Tiến sĩ, Bác sĩ Tô Minh Hương là Bác sĩ lâm sàng - Trung tâm Hỗ trợ sinh sản - Bệnh viện Đa khoa Quốc tế Vinmec Times City.",Hỗ trợ sinh sản,"Đào tạo sau đại học tại Vương quốc Bỉ, Thái Lan
Đào tạo chuyên sâu về Thụ tinh ống nghiệm tại Mỹ và Bệnh viện Phụ sản Trung ương
Bảo vệ luận văn Tiến sĩ chuyên ngành Phụ sản – Đại học Y Hà Nội
Cập nhật các kiến thức mới trong lĩnh vực HTSS từ các hội nghị về HTSS Châu Âu (ESRHE), Châu Á – Thái Bình Dương (ASPIRE), Mỹ (ASRM), Hội nghị của các chuyên gia HTSS Việt Nam, Hà Nội (Expert meeting)
2010: Tiến sĩ Y khoa, chuyên ngành Sản khoa, Đại học Y Hà Nội, Việt Nam
2001: Thạc sĩ Y khoa, chuyên ngành Phụ khoa, Đại học Y Hà Nội, Việt Nam
1996: Bằng sau đại học của Trường Đại học Ghent, Vương quốc Bỉ
1995: Chứng chỉ sau đại học của Trường Đại học Khonken, Thái Lan
1989: Bác sỹ Chuyên khoa I chuyên ngành Sản phụ khoa
1981: Bác sĩ Y khoa, chuyên ngành Ngoại sản, Đại học Y Hà Nội",Bệnh viện ĐKQT Vinmec Times City,350000,350000
